Id	province	region	interview_dt	hh_name	hh_age	plant_crop_y_n	plant_crop_name	hh_member_nm_n_har__0	hh_member_nm_n_har__1	hh_member_nm_n_har__2	hh_member_nm_n_har__3	hh_member_nm_n_har__4	hh_member_nm_n_har__5	hh_member_nm_n_har__6	hh_member_nm_n_har__7	hh_member_nm_n_har__8	hh_member_nm_n_har__9	hh_member_nm_harvest__0	hh_member_nm_harvest__1	hh_member_nm_harvest__2	hh_member_nm_harvest__3	hh_member_nm_harvest__4	hh_member_nm_harvest__5	hh_member_nm_harvest__6	hh_member_nm_harvest__7	hh_member_nm_harvest__8	hh_member_nm_harvest__9	irrigation__1	irrigation__2	irrigation__3	irrigation__4	irrigation__5	harvest_less_area_y_n	harvest_less_area__1	harvest_less_area__2	harvest_less_area__3	harvest_less_area__4	harvest_less_area__5	harvest_less_area__6	ssSys_IRnd
ae59b33ef718459598bef5bea9185bcb	province1	region6	2017-08-01	Mr Sulthoni Ashiddiiqi	33	2.0																																		0.628022909456875
7bf451f6c6fc4535b8f3725befc4af9f	province1	region4	2017-08-01	Mr Giorgi Kartvelishvili	24	2.0																																		0.183308564677513
76721f45bc7a4abf8411bb8f4bae5a76	province1	region5	2017-08-01	Mr Kemas Muhammad Irsan Riza	33	1.0	4.0	Radika	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Yusuf	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	0	0	0	1	1.0	0	0	0	0	0	1	0.585890701779114
645c3a67e91e48c8b0189d8fd71501cc	province2	region17	2017-08-01	Mr Badri Kumar Karki	42	1.0	4.0	Mr.Badri	Mina	Hari	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Mina	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	1	0	0	1	1.0	0	1	0	0	0	0	0.262807969591957
3e8f4b1776354c3093f7b943bdde4d37	province2	region27	2017-08-01	Ms Do Thi Thu Ha	37	1.0	2.0	Migaa	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Jagaa	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	1	1	1	1	1	1.0	1	1	1	0	0	0	0.518889415785153
0ada78593fda4c8180064b2b1d2124b3	province1	region1	2017-08-01	Ms Mahnaz Noorian	30	1.0	4.0	Hamad fawad noorian	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	ahmad Maraj	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	1	0	0	0	0	1.0	1	0	0	0	0	0	0.993921792597473
eec940e8a63c43aeaa239854221aa133	province2	region20	2017-08-01	Ms Meiji Noreen Centeno	60	1.0	4.0	Hedy	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Hedy	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	0	1	0	0	2.0							0.68002844680102
e65ecccfd5d74041b3bea65dee112e83	province2	region26	2017-08-01	Mr Januario dos Santos Do Rosario	49	1.0	2.0	wang	li	zhao	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	wang	li	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	1	1	0	0	1.0	1	0	0	0	0	0	0.434955293049549
9041eff0ef1b453aa16e29fd7d7528ce	province2	region16	2017-08-01	Ms Zabai Oo	44	1.0	4.0	Ahmad	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Ahmad	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	1	0	0	0	0	2.0							0.892410457084147
8d73084db0b343859f2c3c3830cd4cd2	province2	region19	2017-08-01	Ms Karina Paz Bacuyag	40	1.0	4.0	Rudy	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Rudy	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	0	0	1	0	1.0	1	0	0	0	0	0	0.970367028829813
663fe02ca73142fd852bf58c8b721b38	province1	region11	2017-08-01	Ms Mariyam Shajua	46	2.0																																		0.470426597851527
46a14d3a983a455fbe29e97af79a32f2	Province1	Region2	2017-08-01	Mohd Suhaimi Bin Mohd Rashid	45	1.0	4.0	Norjunita	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	Norjunita	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	0	0	1	0	0	1.0	0	0	0	0	0	1	0.376109646342746
0c31758e9c6e4e4598add181c2fd1f99	province2	region21	2017-08-08	Ms Alma Hurtado	27	1.0	3.0	jkl	hp;p[	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	hjjfops	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	##N/A##	1	1	1	1	0	2.0							0.590412557400024
